x,y,z,yaw,velocity,change_flag,look_ahead
-16.8781,2.5036,0.8476,-1.6524,4.559839631563562,0,0.7
-16.9505,2.0019,0.8636,-1.6994,4.6002051247644955,0,0.7
-16.9748,1.4978,0.7899,-1.7977,4.722746528161876,0,0.6
-17.1171,1.0121,0.8071,-1.9321,4.723876912738954,0,0.6
-17.317,0.5274,0.7825,-2.0763,4.757581067793412,0,0.6
-17.5693,0.0733,0.8157,-2.1273,4.722006657331859,0,0.6
-17.8459,-0.3699,0.8158,-2.1222,4.668916820839431,0,0.7
-18.1157,-0.8157,0.8586,-2.0563,4.456725268837068,0,0.8
-18.3249,-1.2823,0.8251,-1.9736,4.3603874995820595,0,0.8
-18.5206,-1.7957,0.8406,-1.8677,4.43024732739714,0,0.8
-18.6269,-2.291,0.8793,-1.7547,4.627560390194004,0,0.7
-18.7274,-2.8169999999999997,0.925,-1.6483,4.762049621888378,0,0.6
-18.7534,-3.3435,0.9074,-1.6265,4.904663114188201,0,0.5
-18.7832,-3.85,0.9097,-1.6163,5.074397059408644,0,0.5
-18.7669,-4.4009,0.8968,-1.6079,5.070871189685497,0,0.5
-18.8026,-4.9030000000000005,0.9137,-1.6033,4.88942569228718,0,0.6
-18.8173,-5.4168,0.8993,-1.5997,4.807139508272778,0,0.6
-18.8003,-5.9316,0.9201,-1.5927,4.9041341960246205,0,0.5
-18.8303,-6.4421,0.9334,-1.5771,4.945113144377923,0,0.5
-18.8106,-6.9691,0.9265,-1.5669,4.99752245373059,0,0.5
-18.804000000000002,-7.4718,0.9281,-1.5593,5.148628149813142,0,0.4
-18.7646,-7.984,0.9022,-1.5562,5.232725235825865,0,0.4
-18.7582,-8.5108,0.9478,-1.5581,5.222139573744505,0,0.4
-18.7335,-9.0151,0.9161,-1.5619999999999998,5.1862543904261,0,0.4
-18.762999999999998,-9.5214,0.9476,-1.5632,5.169277727210655,0,0.4
-18.7148,-10.0299,0.9742,-1.5645,5.062166153798312,0,0.5
-18.7313,-10.557,0.9957,-1.5671,5.054076513600267,0,0.5
-18.6921,-11.0584,1.0127,-1.5729,5.079346577155418,0,0.5
