x,y,z,yaw,velocity,change_flag,look_ahead
-17.0118,2.4425,0.7883,-1.5229,4.6019444690123255,0,0.7
-16.9957,1.9127,0.7263,-1.7042,4.799366162079229,0,0.6
-17.1357,1.4288,0.7323,-1.9906,4.649806573938589,0,0.7
-17.442999999999998,0.9645,0.7529,-2.1525,4.541048952548014,0,0.7
-17.7268,0.5358,0.7206,-2.2213,4.3759544015313185,0,0.7
-18.0561,0.1395,0.7642,-2.1853,4.352087971859158,0,0.7
-18.3986,-0.2768,0.8165,-1.9917,4.145032185712993,0,0.8
-18.5789,-0.7936,0.7964,-1.805,4.147196671583016,0,0.8
-18.6605,-1.3355,0.7941,-1.6663,4.479941248846474,0,0.7
-18.7306,-1.8525,0.7736,-1.5959999999999999,4.98204368136706,0,0.6
-18.7852,-2.3847,0.7709,-1.5538,5.131651076722891,0,0.6
-18.7793,-2.9252,0.8057,-1.5228,5.374920915092793,0,0.5
-18.7665,-3.4514,0.8296,-1.5184,5.794118029861362,0,0.4
-18.7771,-3.9874,0.8151,-1.5229,5.767274806416967,0,0.4
-18.7842,-4.504,0.8345,-1.556,5.570084220665717,0,0.5
-18.8223,-5.0414,0.7967,-1.5862,5.4211047447112835,0,0.5
-18.8856,-5.6001,0.8587,-1.5792,5.5070707848012415,0,0.5
-18.9073,-6.1456,0.866,-1.5581,5.469726099628379,0,0.5
-18.9112,-6.6908,0.8419,-1.5394,5.811357590273298,0,0.4
-18.9185,-7.1961,0.8632,-1.5314,5.920905373663243,0,0.4
-18.9171,-7.7304,0.8481,-1.5252,6.0,0,0.4
-18.9302,-8.2581,0.9206,-1.5197,6.0,0,0.4
-18.9016,-8.7815,0.9083,-1.5241,6.0,0,0.4
-18.9046,-9.3604,0.9277,-1.5323,6.0,0,0.4
-18.9343,-9.9126,0.9382,-1.5404,6.0,0,0.4
-18.9568,-10.4209,0.9378,-1.5482,5.775868775038354,0,0.4
-18.9421,-10.9261,0.9544,-1.5558,5.930217014627384,0,0.4
-18.9708,-11.4855,0.9755,-1.5619999999999998,5.841617735999593,0,0.4
-18.9712,-12.0346,0.9906,-1.568,5.699191073359103,0,0.5
-19.0105,-12.5555,0.9804,-1.5726,5.9837739039626126,0,0.4
-19.0391,-13.0805,0.9997,-1.5646,6.0,0,0.4
-19.0642,-13.5872,1.0090000000000001,-1.5379,6.0,0,0.4
-19.0682,-14.0899,1.0452,-1.5116,6.0,0,0.4
-19.0364,-14.6141,1.0524,-1.4933,6.0,0,0.3
-19.0279,-15.1243,1.0584,-1.4824,6.0,0,0.3
-19.0095,-15.6713,1.0765,-1.4803,6.0,0,0.3
-18.9838,-16.177,1.1017,-1.4796,6.0,0,0.2
-18.9461,-16.6943,1.1136,-1.4797,6.0,0,0.2
-18.934,-17.2459,1.1262,-1.4848,6.0,0,0.2
-18.9143,-17.7789,1.1302,-1.4908,6.0,0,0.2
-18.9104,-18.2923,1.1708,-1.4955,6.0,0,0.3
-18.9073,-18.8027,1.1727,-1.4996,6.0,0,0.2
-18.9003,-19.3525,1.1867,-1.5009,6.0,0,0.2
-18.9033,-19.8699,1.1986,-1.5019999999999998,6.0,0,0.3
-18.8877,-20.3962,1.2171,-1.504,6.0,0,0.3
-18.8756,-20.9516,1.2309,-1.5053,6.0,0,0.3
-18.8525,-21.4557,1.252,-1.5085,6.0,0,0.3
-18.8633,-21.9807,1.2697,-1.5125,6.0,0,0.4
-18.8699,-22.5493,1.2843,-1.5188,6.0,0,0.4
-18.8669,-23.0652,1.2934,-1.5257,5.881275247555144,0,0.4
-18.8595,-23.6015,1.3296,-1.5357,5.996585996958849,0,0.4
-18.8633,-24.1601,1.3225,-1.5497,6.0,0,0.4
-18.9214,-24.7289,1.3559,-1.5388,6.0,0,0.3
-18.9079,-25.2701,1.3563,-1.5194,6.0,0,0.2
-18.8943,-25.8142,1.3932,-1.5127,6.0,0,0.2
-18.8866,-26.3505,1.4057,-1.5106,6.0,0,0.2
-18.8746,-26.8696,1.4104,-1.5097,6.0,0,0.2
-18.8696,-27.4316,1.4417,-1.5116,6.0,0,0.2
-18.8758,-27.9725,1.4462,-1.5163,6.0,0,0.3
-18.8645,-28.4902,1.4996,-1.521,6.0,0,0.3
-18.8884,-29.0592,1.5049,-1.5233,6.0,0,0.3
-18.8834,-29.5926,1.4971,-1.5261,6.0,0,0.3
-18.8766,-30.1408,1.526,-1.5286,6.0,0,0.3
-18.8587,-30.6526,1.5419999999999998,-1.5307,6.0,0,0.2
-18.8657,-31.1814,1.5616,-1.5290000000000001,6.0,0,0.2
-18.8734,-31.7215,1.5799,-1.5219,6.0,0,0.2
-18.874000000000002,-32.2323,1.5904,-1.5199,6.0,0,0.2
-18.8891,-32.7782,1.5886,-1.5187,6.0,0,0.2
-18.8747,-33.3403,1.6138,-1.5203,6.0,0,0.3
-18.8597,-33.883,1.6368,-1.5204,6.0,0,0.4
-18.8413,-34.3855,1.6692,-1.5219,6.0,0,0.4
-18.8848,-34.911,1.6962,-1.5219,6.0,0,0.4
-18.8602,-35.4487,1.6913,-1.5226,6.0,0,0.4
-18.8471,-35.9509,1.7282,-1.5238,6.0,0,0.3
-18.8544,-36.5071,1.7576,-1.525,6.0,0,0.3
-18.8472,-37.067,1.7693,-1.5261,6.0,0,0.2
-18.8451,-37.5767,1.7886,-1.5157,6.0,0,0.3
-18.8546,-38.1454,1.7911,-1.5093,6.0,0,0.2
-18.8247,-38.6933,1.8086,-1.5084,6.0,0,0.3
-18.8563,-39.2471,1.821,-1.5062,6.0,0,0.3
-18.8338,-39.7596,1.8423,-1.5108,6.0,0,0.3
-18.82,-40.2798,1.8621,-1.5244,6.0,0,0.3
-18.8096,-40.792,1.9109,-1.5347,6.0,0,0.4
-18.8302,-41.294,1.9173,-1.5421,6.0,0,0.3
-18.843,-41.8022,1.9307,-1.5433,6.0,0,0.4
-18.8549,-42.3145,1.9356,-1.5347,6.0,0,0.3
-18.8665,-42.8506,1.9808,-1.5252,6.0,0,0.3
-18.84,-43.4003,2.0209,-1.5186,6.0,0,0.3
-18.8473,-43.9277,2.0168,-1.5143,6.0,0,0.3
