x,y,z,yaw,velocity,change_flag
1.0412,2.0799,0.2291,-1.3017,1.9768,0
1.2193,1.6081,0.2333,-1.1109,2.1015,0
1.4899,1.1643,0.2207,-0.9186,1.9618,0
1.8276,0.7905,0.2550,-0.7409,2.1802,0
2.2197,0.4659,0.2453,-0.5547,1.9659,0
2.6585,0.2259,0.2217,-0.3748,1.9221,0
3.1722,0.0771,0.0500,-0.2058,2.7210,0
3.7314,0.0540,-0.0255,-0.0808,2.2261,0
4.2763,-0.0230,0.1306,-0.0452,2.3726,0
4.8080,-0.0064,0.0816,-0.0281,2.2686,0
5.3482,-0.0015,0.0644,-0.0125,2.3561,0
5.8628,-0.0090,0.0859,-0.0062,2.0813,0
6.3693,-0.0155,0.0736,0.0018,2.2239,0
6.8868,0.0094,0.1466,0.0084,2.3450,0
7.4429,0.0160,0.2244,0.0145,2.1730,0
7.9942,0.0363,0.1520,0.0254,2.4019,0
8.5220,0.0306,0.1148,0.0258,2.1719,0
9.0503,0.0687,-0.2406,0.0314,2.3924,0
9.5972,0.0825,0.1162,0.0314,2.0980,0
10.1070,0.1242,0.0608,0.0139,2.1119,0
10.6238,0.1502,0.1806,-0.0134,1.8101,0
11.1321,0.1465,0.2265,-0.0285,1.8729,0
11.6590,0.1329,0.1701,-0.0178,1.2129,0
12.1780,0.2361,0.0609,0.0095,1.3043,0
12.6898,0.2462,0.0730,0.0279,1.0844,0
13.1930,0.3120,-0.1263,0.1124,0.8964,0
