x,y,z,yaw,velocity,change_flag
-17.4014,-97.7467,4.01,-1.1013,6,0
-16.8411,-98.5932,4.0159,-0.8646,6,0
-16.1548,-99.3347,4.0629,-0.7325,6,0
-15.3181,-99.9102,4.0975,-0.507,6,0
-14.3783,-100.2814,4.128,-0.2909,6,0
-13.4092,-100.5507,4.0921,-0.3708,6,0
-12.4843,-101.0003,4.1251,-0.6547,6,0
-11.7302,-101.701,4.1288,-0.9515,6,0
-11.2318,-102.591,4.1748,-1.2873,6,0
-11.0357,-103.5869,4.2131,-1.5423,6,0
-10.9943,-104.5953,4.2205,-1.5854,6,0
-10.9747,-105.612,4.3157,-1.5875,6,0
-11.0126,-106.6307,4.2899,-1.5894,6,0
-11.0036,-107.6502,4.3699,-1.599,6,0
-11.0138,-108.6635,4.3811,-1.5939,6,0
-10.9779,-109.675,4.4238,-1.5854,6,0
-11.0026,-110.6787,4.4274,-1.5708,6,0
-10.9693,-111.7095,4.5,-1.563,6,0
-10.9067,-112.736,4.5076,-1.5719,6,0
-10.9172,-113.747,4.5444,-1.5921,6,0
-10.9172,-114.7765,4.6066,-1.5793,6,0
-10.8814,-115.7866,4.6792,-1.5732,6,0
-10.8746,-116.7868,4.6627,-1.567,6,0
-10.8558,-117.8045,4.6658,-1.5563,6,0
-10.8543,-118.8262,4.7278,-1.5615,6,0
-10.8542,-119.8565,4.7942,-1.5792,6,0
-10.8249,-120.8714,4.8244,-1.5957,6,0
-10.795,-121.8729,4.8278,-1.6363,6,0
-10.8938,-122.8759,4.8876,-1.6821,6,0
-11.0167,-123.8736,4.9296,-1.7565,6,0
-11.1742,-124.8686,4.9771,-1.6689,6,0
-11.1033,-125.8878,5.0362,-1.3528,6,0
-10.74,-126.8374,5.0616,-0.9804,6,0
-9.9947,-127.5492,5.1078,-0.5637,6,0
-9.0765,-127.9592,5.0841,-0.2204,6,0
-8.0683,-128.0444,5.0374,0.0059,6,0
-7.0611,-128.026,5.0468,0.037,6,0
-6.0506,-127.951,4.9944,0.0313,6,0
-5.0401,-127.9011,5.0052,0.028,6,0
-4.0007,-127.8318,4.9998,0.0307,6,0
-2.9795,-127.7897,4.9951,-0.0031,6,0
-1.9665,-127.8277,4.8954,-0.0905,6,0
-0.9649,-127.9577,4.9317,-0.2325,6,0
0.0405,-128.203,4.9433,-0.3086,6,0
1.0071,-128.5405,4.866,-0.3739,6,0
1.9512,-128.9059,4.8837,-0.4325,6,0
2.8906,-129.359,4.7683,-0.5016,6,0
3.7636,-129.8851,4.8479,-0.6323,6,0
4.572,-130.5277,4.9491,-0.7291,6,0
5.3148,-131.2104,5.0435,-0.8461,6,0
6.0017,-131.9762,5.0139,-0.9229,6,0
6.5959,-132.8046,5.0668,-1.0161,6,0
7.1321,-133.6881,5.113,-1.1151,6,0
7.5543,-134.6134,5.2185,-1.201,6,0
7.9057,-135.5544,5.2321,-1.26,6,0
8.1846,-136.5216,5.2987,-1.3545,6,0
8.4344,-137.5032,5.336,-1.4622,6,0
8.4606,-138.5311,5.3955,-1.5547,6,0
8.4711,-139.5379,5.4014,-1.6338,6,0
8.4128,-140.5496,5.5148,-1.7077,6,0
8.266,-141.5495,5.5821,-1.7732,6,0
8.0294,-142.5403,5.6264,-1.8435,6,0
7.7682,-143.5199,5.6066,-1.9081,6,0
7.4277,-144.4942,5.7149,-1.9704,6,0
6.9966,-145.4325,5.8149,-2.0519,6,0
6.4849,-146.318,5.7769,-2.155,6,0
5.935,-147.1896,5.8068,-2.2421,6,0
5.3123,-147.9915,5.8183,-2.3258,6,0
4.6368,-148.7516,5.9199,-2.4042,6,0
3.8745,-149.4,5.9095,-2.4594,6,0
3.062,-150.0562,5.9747,-2.4608,6,0
2.3099,-150.7525,5.9921,-2.4473,6,0
1.5308,-151.3937,5.9521,-2.437,6,0
0.7415,-152.0556,6.0297,-2.5285,6,0
-0.11,-152.6681,6.0425,-2.5889,6,0
-0.996,-153.1937,6.1099,-2.6546,6,0
-1.9226,-153.6006,6.1377,-2.9628,6,0
-2.9478,-153.6414,6.1385,2.9837,6,0
-3.9565,-153.4531,6.1769,2.8599,6,0
-4.9189,-153.1503,6.1407,2.7685,6,0
-5.8633,-152.7849,6.1255,2.7155,6,0
-6.8054,-152.3699,6.0645,2.6785,6,0
-7.7122,-151.9415,6.0292,2.6638,6,0
-8.5969,-151.4724,6.0259,2.6495,6,0
-9.5256,-151.0316,6.0247,2.6405,6,0
-10.4298,-150.5296,6.0193,2.5294,6,0
-11.2365,-149.8892,6.0041,2.3682,6,0
-11.9482,-149.1593,5.9957,2.2365,6,0
-12.5852,-148.356,6.0168,2.1873,6,0
-13.1832,-147.5387,5.9696,2.19,6,0
-13.7803,-146.7343,5.9318,2.1661,6,0
-14.353,-145.8877,5.8718,2.1592,6,0
-14.9881,-145.054,5.8781,2.2178,6,0
-15.6064,-144.2642,5.8033,2.2346,6,0
-16.2692,-143.5134,5.7929,2.2922,6,0
-16.9985,-142.7976,5.8035,2.3883,6,0
-17.7534,-142.1235,5.7441,2.4924,6,0
-18.635,-141.5542,5.738,2.5635,6,0
-19.4865,-141.0283,5.7128,2.5889,6,0
-20.3408,-140.5026,5.7371,2.5854,6,0
-21.2326,-140.0175,5.7228,2.5745,6,0
-22.133,-139.5314,5.6734,2.5988,6,0
-23.0323,-139.0394,5.615,2.6029,6,0
-23.8944,-138.5269,5.672,2.6049,6,0
-24.7852,-138.0105,5.6215,2.5893,6,0
-25.6754,-137.5176,5.6495,2.5791,6,0
-26.5522,-137.0278,5.6582,2.6358,6,0
-27.4305,-136.5198,5.6476,2.6176,6,0
-28.3608,-136.045,5.6153,2.6417,6,0
-29.2579,-135.5945,5.6033,2.6506,6,0
-30.157,-135.1299,5.5251,2.6584,6,0
-31.0826,-134.6881,5.5556,2.6615,6,0
-31.9575,-134.1811,5.5152,2.6656,6,0
-32.8775,-133.758,5.5732,2.6103,6,0
-33.7548,-133.2149,5.5742,2.5672,6,0
