x,y,z,yaw,velocity,change_flag
-2.9111,6.4618,-0.186,-1.1461,6,0
-2.6333,6.0286,0.0197,-1.055,6,0
-2.3884,5.5644,-0.0358,-0.9384,6,0
-2.0283,5.2067,-0.1006,-0.8648,6,0
-1.7109,4.7639,-0.1279,-0.8715,6,0
-1.3201,4.4371,-0.351,-0.8989,6,0
-0.9402,4.0203,-0.2452,-0.9407,6,0
-0.5794,3.6643,-0.4498,-0.9752,6,0
-0.3205,3.2175,-0.4833,-1.0879,6,0
-0.0404,2.7416,-0.5294,-1.1447,6,0
0.1326,2.2254,-0.438,-1.212,6,0
0.3691,1.7361,-0.4673,-1.2306,6,0
0.4983,1.2312,-0.2629,-1.1652,6,0
0.7884,0.7873,-0.315,-1.0068,6,0
1.1457,0.3633,-0.341,-0.8004,6,0
1.5561,0.0329,-0.3705,-0.5553,6,0
1.9838,-0.2368,-0.2853,-0.3615,6,0
2.4908,-0.3258,-0.2932,-0.1263,6,0
2.9977,-0.3585,-0.2446,0.0028,6,0
3.5257,-0.3497,-0.2275,0.0055,6,0
4.0425,-0.2942,-0.2478,-0.0063,6,0
4.5558,-0.3175,-0.379,-0.02,6,0
5.1429,-0.2763,-0.6528,-0.0302,6,0
5.6464,-0.3141,-0.5682,-0.0505,6,0
6.1423,-0.2202,-0.4329,-0.0669,6,0
6.69,-0.3324,-0.4674,-0.0761,6,0
7.2193,-0.3354,-0.4369,-0.0701,6,0
7.7603,-0.3971,-0.3471,-0.0528,6,0
8.2837,-0.3866,-0.4055,-0.0475,6,0
8.7877,-0.4466,-0.3922,-0.028,6,0
9.2926,-0.4245,-0.3874,-0.0203,0,0
